jdb	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60
---	----	-----	----	--------	--------	-----	----	-----	---	-------	-------	----	----	----
56088.467337	-97.93875	0.00103	6.04510	30.956	-0.02869	0.00088	0.193957	0.001482	-4.8759	0.0056	26.20	51.40	151.80	164.60
56088.472915	-97.93766	0.00105	6.04651	30.941	-0.02877	0.00090	0.194301	0.001605	-4.8746	0.0060	24.80	49.40	148.10	160.30
56268.724594	-97.93706	0.00143	6.08127	31.050	-0.01832	0.00137	0.197467	0.001617	-4.8630	0.0059	24.60	40.40	106.50	113.20
56268.727430	-97.93656	0.00149	6.08283	31.031	-0.02247	0.00143	0.195871	0.001725	-4.8688	0.0064	23.40	39.30	101.90	105.00
56268.730185	-97.93709	0.00117	6.07957	31.024	-0.02417	0.00110	0.196509	0.001170	-4.8665	0.0043	31.20	50.90	131.50	138.00
56268.732963	-97.93670	0.00115	6.08139	31.025	-0.02532	0.00107	0.195371	0.001133	-4.8706	0.0042	31.90	52.40	133.60	137.80
56268.735695	-97.93770	0.00126	6.07952	31.031	-0.02734	0.00119	0.195402	0.001334	-4.8705	0.0049	28.20	47.30	120.40	123.00
56268.738484	-97.93828	0.00149	6.08780	31.031	-0.02476	0.00143	0.197788	0.001736	-4.8618	0.0063	23.30	39.90	100.80	102.20
56285.718472	-97.92671	0.00062	6.08389	30.940	-0.02629	0.00047	0.203748	0.000398	-4.8407	0.0014	76.20	106.90	297.70	375.30
56286.654483	-97.93510	0.00082	6.09379	30.917	-0.02578	0.00071	0.201566	0.000666	-4.8483	0.0023	48.60	81.10	199.40	201.90
56286.660120	-97.93613	0.00090	6.09148	30.934	-0.02650	0.00080	0.201741	0.000794	-4.8477	0.0028	42.20	70.80	175.50	178.90
56286.738031	-97.93446	0.00068	6.08984	30.925	-0.02488	0.00054	0.200643	0.000469	-4.8516	0.0017	65.30	106.30	257.80	259.70
56286.743633	-97.93445	0.00066	6.09294	30.919	-0.02611	0.00052	0.199945	0.000441	-4.8540	0.0016	68.70	111.80	270.40	271.20
56306.586601	-97.93174	0.00063	6.08281	30.955	-0.02533	0.00049	0.199273	0.000405	-4.8564	0.0015	74.10	105.70	299.50	357.20
56306.592204	-97.93162	0.00062	6.08502	30.944	-0.02519	0.00048	0.199768	0.000391	-4.8547	0.0014	76.60	108.30	308.30	367.10
56306.677209	-97.93351	0.00054	6.08739	30.958	-0.02115	0.00037	0.199183	0.000288	-4.8568	0.0010	100.70	148.40	391.60	427.80
56306.682834	-97.93427	0.00055	6.08676	30.955	-0.02300	0.00038	0.198867	0.000294	-4.8579	0.0011	98.40	145.70	383.50	419.10
56307.576362	-97.93708	0.00101	6.08811	30.992	-0.02561	0.00093	0.197160	0.000981	-4.8641	0.0036	35.40	58.60	155.10	168.70
56307.581975	-97.93691	0.00098	6.08928	31.002	-0.02543	0.00089	0.196876	0.000923	-4.8651	0.0034	37.20	61.60	161.80	174.10
56307.754729	-97.93713	0.00059	6.08603	30.979	-0.02531	0.00044	0.197452	0.000357	-4.8630	0.0013	82.20	125.00	328.70	360.10
56307.760343	-97.93579	0.00060	6.08737	30.982	-0.02498	0.00045	0.198104	0.000365	-4.8606	0.0013	80.70	123.50	323.10	352.90
56308.619712	-97.93390	0.00062	6.08548	30.991	-0.02476	0.00048	0.193847	0.000414	-4.8763	0.0016	71.00	122.40	286.60	273.40
56308.753181	-97.93300	0.00050	6.08721	30.986	-0.02374	0.00031	0.192231	0.000244	-4.8824	0.0009	114.00	201.40	419.70	363.00
56309.627284	-97.93641	0.00056	6.08597	31.013	-0.02526	0.00040	0.195190	0.000322	-4.8713	0.0012	89.50	144.60	352.60	352.60
56309.632979	-97.93686	0.00057	6.08834	31.003	-0.02714	0.00041	0.194886	0.000325	-4.8724	0.0012	88.50	141.90	347.60	350.30
56309.748634	-97.93589	0.00065	6.08581	31.016	-0.02419	0.00052	0.193548	0.000438	-4.8775	0.0016	67.60	113.60	268.50	258.10
56309.754340	-97.93593	0.00060	6.08807	31.018	-0.02662	0.00044	0.193073	0.000359	-4.8792	0.0014	80.40	135.00	313.20	294.70
56310.625884	-97.93466	0.00056	6.08553	31.019	-0.02417	0.00039	0.191835	0.000315	-4.8839	0.0012	89.80	159.40	336.40	288.60
56310.631579	-97.93484	0.00056	6.08575	31.022	-0.02658	0.00039	0.191569	0.000316	-4.8850	0.0012	89.50	158.80	333.80	284.50
56310.744004	-97.93564	0.00055	6.08752	31.013	-0.02530	0.00038	0.193556	0.000297	-4.8774	0.0011	95.50	162.70	358.80	324.50
56310.749711	-97.93547	0.00054	6.08809	31.010	-0.02517	0.00037	0.192649	0.000287	-4.8808	0.0011	98.20	166.40	367.70	333.10
56403.442064	-97.93660	0.00646	6.13007	30.486	-0.03036	0.00644	0.234160	0.014566	-4.7466	0.0405	4.70	9.20	29.60	29.10
56403.512905	-97.93122	0.00127	6.12998	30.842	-0.02675	0.00121	0.215602	0.001330	-4.8016	0.0042	29.10	46.10	124.00	129.20
56403.518425	-97.93300	0.00158	6.13318	30.791	-0.02485	0.00153	0.215997	0.001862	-4.8003	0.0059	22.60	36.50	99.40	103.90
56432.500034	-97.93334	0.00103	6.12466	30.865	-0.02799	0.00094	0.198595	0.000947	-4.8589	0.0034	33.90	60.40	148.20	134.00
56432.504953	-97.93401	0.00083	6.12001	30.863	-0.02614	0.00072	0.198877	0.000663	-4.8579	0.0024	45.00	79.30	192.30	171.40
56432.507568	-97.93473	0.00080	6.12414	30.847	-0.02995	0.00069	0.197939	0.000621	-4.8612	0.0022	47.30	83.90	200.70	176.30
56432.510184	-97.93434	0.00088	6.12361	30.849	-0.02723	0.00078	0.198016	0.000738	-4.8610	0.0027	41.10	73.00	179.30	161.00
56432.589622	-97.93334	0.00080	6.12473	30.850	-0.02701	0.00070	0.199122	0.000660	-4.8570	0.0024	45.30	77.80	210.30	199.10
56432.592237	-97.93535	0.00079	6.12575	30.841	-0.02502	0.00068	0.196750	0.000641	-4.8656	0.0023	46.20	79.30	214.70	203.80
56432.594841	-97.93496	0.00079	6.12308	30.844	-0.02334	0.00068	0.198907	0.000646	-4.8578	0.0023	45.90	79.00	215.20	204.00
