jdb	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60
---	----	-----	----	--------	--------	-----	----	-----	---	-------	-------	----	----	----
56125.446791	-59.34579	0.00054	6.16517	43.129	-0.04176	0.00038	0.169306	0.000456	-4.9728	0.0022	63.40	103.70	216.80	231.40
56127.521794	-59.34422	0.00047	6.16843	43.168	-0.04573	0.00026	0.171532	0.000283	-4.9620	0.0014	96.70	141.50	326.40	386.50
56128.577645	-59.34549	0.00054	6.16776	43.144	-0.04197	0.00037	0.169480	0.000451	-4.9719	0.0022	64.40	100.20	229.80	263.00
56148.487384	-59.34372	0.00054	6.17264	43.149	-0.04372	0.00038	0.167273	0.000452	-4.9829	0.0023	64.40	107.60	223.40	232.90
56148.492974	-59.34416	0.00057	6.17301	43.159	-0.04411	0.00042	0.168438	0.000519	-4.9771	0.0026	57.80	96.80	202.90	215.50
56149.449788	-59.34363	0.00120	6.17941	43.266	-0.03815	0.00114	0.171822	0.002120	-4.9606	0.0102	20.90	33.10	78.70	99.40
56149.455378	-59.34465	0.00124	6.18432	43.258	-0.04132	0.00118	0.173691	0.002212	-4.9517	0.0104	20.30	32.20	76.40	96.60
56151.471165	-59.34525	0.00063	6.17463	43.175	-0.04377	0.00050	0.169401	0.000664	-4.9723	0.0033	47.80	79.50	173.20	187.70
56151.476720	-59.34534	0.00063	6.17806	43.168	-0.04385	0.00050	0.168114	0.000667	-4.9787	0.0033	47.60	79.10	173.00	187.70
56160.489606	-59.34494	0.00070	6.18125	43.208	-0.04152	0.00059	0.168762	0.000864	-4.9755	0.0043	39.50	62.70	150.50	183.20
56166.363527	-59.34188	0.00055	6.17988	43.115	-0.04307	0.00039	0.168196	0.000465	-4.9783	0.0023	63.70	106.50	212.50	224.30
56340.799259	-59.34537	0.00067	6.21017	42.977	-0.03610	0.00055	0.175633	0.000758	-4.9427	0.0035	40.10	70.00	179.40	178.80
56341.699144	-59.34362	0.00060	6.20663	43.055	-0.03940	0.00045	0.174295	0.000566	-4.9489	0.0026	50.40	83.80	221.70	230.30
56366.607919	-59.34585	0.00081	6.20694	43.036	-0.03930	0.00071	0.174558	0.001030	-4.9477	0.0048	31.90	56.10	143.90	139.40
56366.724440	-59.34334	0.00050	6.21019	43.061	-0.03838	0.00031	0.174276	0.000339	-4.9490	0.0016	77.80	130.50	318.60	299.50
56379.712200	-59.34431	0.00047	6.21132	43.050	-0.03754	0.00026	0.174359	0.000275	-4.9486	0.0013	94.20	158.10	390.20	369.60
56379.785570	-59.34583	0.00052	6.20976	39.036	-0.03680	0.00034	0.191286	0.000334	-4.8761	0.0013	82.60	134.20	329.10	331.20
56396.579412	-59.34282	0.00046	6.21293	43.037	-0.03841	0.00025	0.174909	0.000265	-4.9460	0.0012	98.30	162.80	403.80	386.10
56396.746475	-59.34415	0.00045	6.21445	43.020	-0.03948	0.00023	0.175911	0.000235	-4.9414	0.0011	110.00	176.90	445.90	438.10
56398.579854	-59.34335	0.00049	6.21474	43.046	-0.03812	0.00029	0.176448	0.000314	-4.9390	0.0014	85.20	136.00	351.10	358.70
56399.710707	-59.34539	0.00052	6.21423	43.056	-0.03872	0.00033	0.174602	0.000379	-4.9475	0.0018	71.50	123.00	294.50	272.70
56400.561600	-59.34430	0.00102	6.21208	43.121	-0.03903	0.00094	0.179368	0.001615	-4.9259	0.0071	23.80	41.90	109.00	110.40
56400.648893	-59.34454	0.00077	6.21208	43.100	-0.04131	0.00066	0.175854	0.000946	-4.9417	0.0043	34.90	60.10	152.80	151.10
56402.561550	-59.34288	0.00056	6.21559	43.067	-0.03875	0.00040	0.177383	0.000472	-4.9347	0.0021	60.20	96.80	249.10	254.60
56402.730719	-59.34413	0.00066	6.21391	43.096	-0.03775	0.00053	0.176305	0.000674	-4.9396	0.0031	45.30	73.20	190.40	198.40
56403.463831	-59.34299	0.00085	6.22031	43.070	-0.03572	0.00076	0.177300	0.001215	-4.9351	0.0055	29.20	50.30	136.20	140.30
56403.538322	-59.34465	0.00376	6.21693	42.802	-0.03042	0.00374	0.220313	0.011268	-4.7745	0.0352	5.60	10.80	34.70	36.10
