jdb	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60
57182.461420	-0.32818	0.00044	7.03027	53.387	-0.02561	0.00026	0.147987	0.000331	-5.0868	0.0023	67.60	120.10	281.00	258.90
57182.466929	-0.32766	0.00042	7.02940	53.381	-0.02565	0.00023	0.148643	0.000283	-5.0822	0.0020	77.50	137.80	315.70	283.10
57184.371225	-0.32522	0.00063	7.02551	53.382	-0.02416	0.00052	0.149390	0.000835	-5.0770	0.0058	33.30	58.00	148.00	152.60
57184.376467	-0.32500	0.00064	7.02915	53.412	-0.02526	0.00053	0.149089	0.000873	-5.0791	0.0061	32.10	56.50	144.70	148.60
57184.454519	-0.32581	0.00043	7.02949	53.386	-0.02561	0.00025	0.150025	0.000306	-5.0726	0.0021	73.10	120.60	307.90	322.20
57185.373971	-0.32587	0.00043	7.02835	53.383	-0.02589	0.00026	0.149810	0.000322	-5.0741	0.0022	69.90	119.30	289.60	279.00
57185.379353	-0.32619	0.00044	7.02861	53.392	-0.02519	0.00027	0.149083	0.000342	-5.0791	0.0024	66.30	114.30	275.70	263.90
57185.460633	-0.32583	0.00041	7.02865	53.390	-0.02677	0.00023	0.149615	0.000269	-5.0754	0.0019	81.60	137.30	332.50	321.90
57185.465910	-0.32551	0.00041	7.03079	53.379	-0.02606	0.00023	0.149975	0.000268	-5.0729	0.0018	82.00	138.10	334.70	323.90
57186.371879	-0.32739	0.00043	7.02957	53.374	-0.02569	0.00025	0.149393	0.000313	-5.0770	0.0022	71.40	123.30	293.10	277.70
57186.377354	-0.32689	0.00043	7.03058	53.377	-0.02573	0.00025	0.148613	0.000309	-5.0824	0.0022	72.00	125.30	294.30	275.40
57186.458495	-0.32715	0.00041	7.03035	53.376	-0.02609	0.00021	0.149260	0.000253	-5.0779	0.0018	85.80	148.80	345.40	318.30
57186.463946	-0.32715	0.00041	7.03131	53.376	-0.02661	0.00022	0.149350	0.000261	-5.0773	0.0018	83.60	143.40	337.00	316.00
57188.374106	-0.32604	0.00041	7.02993	53.366	-0.02685	0.00021	0.148654	0.000243	-5.0821	0.0017	88.50	155.50	353.00	312.80
57188.379604	-0.32568	0.00040	7.03008	53.368	-0.02607	0.00020	0.148993	0.000233	-5.0797	0.0016	92.00	163.70	365.40	314.30
57188.453315	-0.32682	0.00041	7.03044	53.370	-0.02636	0.00021	0.149127	0.000248	-5.0788	0.0017	87.10	152.70	346.20	309.70
57188.458801	-0.32533	0.00041	7.03071	53.376	-0.02600	0.00022	0.149138	0.000258	-5.0787	0.0018	84.20	147.70	336.20	301.20
57189.375370	-0.32547	0.00045	7.03006	53.398	-0.02598	0.00030	0.150145	0.000392	-5.0718	0.0027	59.70	98.80	253.00	264.50
57189.380902	-0.32608	0.00046	7.02920	53.400	-0.02617	0.00031	0.149834	0.000407	-5.0739	0.0028	57.90	96.20	246.70	258.30
57190.370788	-0.32704	0.00049	7.02766	53.371	-0.02600	0.00034	0.148116	0.000464	-5.0859	0.0033	51.50	93.30	213.20	194.00
57190.376517	-0.32677	0.00050	7.02770	53.390	-0.02506	0.00036	0.147262	0.000500	-5.0920	0.0036	48.40	87.90	202.10	184.90
57191.370454	-0.32549	0.00044	7.02771	53.365	-0.02645	0.00026	0.148413	0.000333	-5.0838	0.0023	67.40	120.30	275.80	249.00
57191.375813	-0.32526	0.00043	7.02870	53.375	-0.02747	0.00025	0.147851	0.000310	-5.0878	0.0022	71.50	128.50	286.70	254.30
57192.370582	-0.32798	0.00043	7.02828	53.366	-0.02581	0.00025	0.147778	0.000313	-5.0883	0.0022	70.90	128.90	281.90	244.40
57192.375999	-0.32767	0.00043	7.02927	53.370	-0.02628	0.00025	0.147756	0.000307	-5.0885	0.0022	71.90	132.40	282.10	239.20
57193.374842	-0.32740	0.00045	7.03099	53.374	-0.02577	0.00028	0.149811	0.000347	-5.0741	0.0024	65.90	110.40	269.10	264.00
57193.380640	-0.32791	0.00042	7.03006	53.383	-0.02618	0.00024	0.149011	0.000286	-5.0796	0.0020	77.30	131.80	313.00	298.20
57407.672137	-0.32777	0.00051	7.03031	53.395	-0.02471	0.00037	0.150601	0.000527	-5.0687	0.0036	46.00	90.10	202.70	189.20
57407.676014	-0.32826	0.00053	7.02970	53.391	-0.02776	0.00040	0.149806	0.000591	-5.0741	0.0041	42.20	82.40	188.50	179.20
57407.679938	-0.32876	0.00054	7.02976	53.393	-0.02524	0.00040	0.150801	0.000606	-5.0673	0.0041	41.50	80.50	187.40	182.00
57407.776043	-0.32828	0.00047	7.03055	53.382	-0.02489	0.00030	0.150309	0.000393	-5.0707	0.0027	58.20	112.70	238.30	216.70
57407.779782	-0.32796	0.00046	7.02949	53.381	-0.02575	0.00029	0.149938	0.000367	-5.0732	0.0025	61.50	119.00	249.80	226.70
57407.783636	-0.32836	0.00048	7.02911	53.387	-0.02688	0.00033	0.151104	0.000437	-5.0653	0.0029	53.50	104.20	222.70	203.70
57408.672868	-0.32934	0.00063	7.02748	53.430	-0.02498	0.00051	0.151107	0.000845	-5.0652	0.0057	32.40	63.50	149.50	147.10
57408.676722	-0.33034	0.00063	7.02897	53.419	-0.02553	0.00051	0.151228	0.000848	-5.0644	0.0057	32.30	63.70	148.80	145.10
57408.680553	-0.33006	0.00061	7.03013	53.406	-0.02717	0.00050	0.149967	0.000816	-5.0730	0.0056	33.20	65.60	153.10	148.70
57408.776682	-0.33015	0.00092	7.02854	53.442	-0.02471	0.00085	0.151277	0.001782	-5.0641	0.0120	19.00	38.60	92.40	93.10
57408.780432	-0.33115	0.00111	7.02740	53.431	-0.02420	0.00105	0.152901	0.002493	-5.0533	0.0164	15.10	31.30	76.00	76.80
57408.784136	-0.33019	0.00103	7.03332	53.417	-0.02286	0.00097	0.150069	0.002199	-5.0723	0.0151	16.40	33.80	81.80	82.40
57410.751752	-0.32516	0.00068	7.02447	53.378	-0.02458	0.00058	0.155220	0.000919	-5.0383	0.0058	31.30	49.30	130.10	171.50
57411.706599	-0.32796	0.00076	7.02765	53.348	-0.02867	0.00068	0.151561	0.001226	-5.0622	0.0082	25.00	46.90	115.20	125.00
57411.715442	-0.32821	0.00080	7.02468	53.378	-0.02451	0.00071	0.150445	0.001331	-5.0697	0.0091	23.50	44.70	109.80	118.40
57412.657291	-0.32621	0.00055	7.02981	53.414	-0.02551	0.00043	0.151446	0.000639	-5.0629	0.0043	40.10	72.70	181.40	198.60
57412.660960	-0.32725	0.00057	7.03090	53.413	-0.02618	0.00045	0.152389	0.000669	-5.0567	0.0044	38.90	69.40	174.70	193.60
57412.664803	-0.32748	0.00077	7.03120	53.425	-0.01985	0.00069	0.152248	0.001239	-5.0576	0.0082	24.80	45.50	116.10	128.00
57412.793491	-0.32680	0.00052	7.03073	53.405	-0.02680	0.00038	0.151409	0.000519	-5.0632	0.0035	47.20	84.40	203.10	215.60
57412.797207	-0.32987	0.00051	7.03082	53.410	-0.02554	0.00037	0.151842	0.000497	-5.0603	0.0033	48.80	86.80	208.90	222.10
57412.800922	-0.32959	0.00052	7.02958	53.408	-0.02804	0.00039	0.152631	0.000527	-5.0551	0.0035	46.70	83.00	199.70	213.10
57413.639894	-0.32847	0.00080	7.03214	53.422	-0.02668	0.00072	0.150798	0.001442	-5.0673	0.0098	22.20	43.50	108.30	113.60
57413.643390	-0.32786	0.00080	7.03156	53.429	-0.02552	0.00072	0.153598	0.001402	-5.0487	0.0091	22.80	43.80	109.70	117.80
57413.647406	-0.32631	0.00072	7.02688	53.438	-0.02514	0.00063	0.153255	0.001155	-5.0510	0.0075	26.10	49.10	123.60	134.40
57413.785620	-0.32755	0.00058	7.02940	53.418	-0.02841	0.00046	0.151208	0.000702	-5.0646	0.0047	37.40	69.00	165.50	173.70
57413.789417	-0.32828	0.00064	7.03060	53.419	-0.02891	0.00054	0.149050	0.000872	-5.0793	0.0061	31.70	59.50	142.80	149.80
57413.793155	-0.32809	0.00059	7.03263	53.407	-0.02625	0.00048	0.150436	0.000729	-5.0698	0.0050	36.30	67.20	161.20	169.00
57414.664826	-0.32939	0.00055	7.03026	53.406	-0.02667	0.00042	0.150720	0.000634	-5.0679	0.0043	40.30	75.00	183.50	193.40
57414.668981	-0.33059	0.00054	7.02975	53.405	-0.02775	0.00041	0.150232	0.000598	-5.0712	0.0041	42.00	77.60	188.00	194.30
