jdb	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60
---	----	-----	----	--------	--------	-----	----	-----	---	-------	-------	----	----	----
56340.481685	-7.68094	0.00108	6.63925	50.074	-0.03309	0.00100	0.225998	0.002592	-4.7477	0.0079	16.40	31.80	88.20	88.70
56340.551370	-7.68187	0.00067	6.64675	50.015	-0.03127	0.00055	0.225354	0.001072	-4.7497	0.0033	32.00	57.70	157.20	159.40
56341.489248	-7.68058	0.00053	6.65017	49.964	-0.03042	0.00034	0.224194	0.000561	-4.7532	0.0017	54.30	93.50	250.60	250.10
56341.569384	-7.68040	0.00132	6.64980	50.013	-0.03832	0.00126	0.220171	0.003270	-4.7658	0.0104	13.70	25.50	74.60	75.70
56642.583228	-7.68169	0.00055	6.67514	49.773	-0.02701	0.00038	0.224775	0.000619	-4.7514	0.0019	48.20	86.90	224.70	213.00
56642.732964	-7.67872	0.00051	6.67507	49.759	-0.02733	0.00031	0.226304	0.000487	-4.7468	0.0015	59.70	103.90	278.00	273.60
56643.663566	-7.67805	0.00081	6.67481	49.765	-0.02917	0.00070	0.224985	0.001425	-4.7508	0.0044	24.70	47.10	124.60	121.30
56643.758602	-7.67866	0.00059	6.67415	49.778	-0.02628	0.00044	0.223663	0.000769	-4.7549	0.0024	40.20	73.90	194.70	187.90
56644.600417	-7.67992	0.00075	6.67748	49.770	-0.02700	0.00064	0.222563	0.001276	-4.7583	0.0040	26.80	50.60	135.70	134.20
56644.712618	-7.67912	0.00052	6.67526	49.762	-0.02649	0.00034	0.223348	0.000541	-4.7558	0.0017	54.10	97.50	255.50	247.80
56664.533172	-7.68062	0.00047	6.68053	49.739	-0.02729	0.00026	0.223192	0.000388	-4.7563	0.0012	72.90	130.50	331.60	310.40
56664.624352	-7.68056	0.00045	6.68225	49.718	-0.02815	0.00022	0.223246	0.000321	-4.7562	0.0010	87.00	151.60	385.20	362.70
56665.531637	-7.68200	0.00048	6.68103	49.728	-0.02863	0.00028	0.224241	0.000414	-4.7531	0.0013	69.20	121.60	313.20	300.30
56665.663510	-7.68221	0.00074	6.67982	49.786	-0.03149	0.00062	0.221215	0.001198	-4.7625	0.0038	28.60	52.50	140.80	138.70
56668.518923	-7.67871	0.00047	6.68362	49.711	-0.02708	0.00026	0.225450	0.000394	-4.7494	0.0012	72.40	133.20	324.30	287.30
56668.653783	-7.67828	0.00053	6.68216	49.731	-0.02831	0.00036	0.223629	0.000599	-4.7550	0.0019	50.00	93.10	231.60	211.40
56670.462882	-7.68032	0.00051	6.68363	49.722	-0.02700	0.00033	0.225771	0.000548	-4.7484	0.0017	54.50	98.50	259.60	249.90
56671.463228	-7.68062	0.00054	6.68634	49.718	-0.02626	0.00037	0.224519	0.000617	-4.7522	0.0019	49.10	89.60	231.10	220.50
56671.570483	-7.68119	0.00052	6.68463	49.714	-0.02627	0.00034	0.224706	0.000555	-4.7517	0.0017	53.70	98.10	247.10	231.20
56936.680279	-7.67894	0.00053	6.57560	50.458	-0.03381	0.00039	0.208090	0.000653	-4.8059	0.0023	44.20	82.00	210.10	206.80
56936.775180	-7.67996	0.00051	6.57438	50.350	-0.03083	0.00037	0.208242	0.000592	-4.8054	0.0021	47.70	90.20	223.40	212.50
56960.706554	-7.68095	0.00043	6.56862	50.487	-0.03031	0.00025	0.208856	0.000365	-4.8033	0.0013	72.30	130.90	319.40	300.80
56960.711948	-7.68128	0.00044	6.56814	50.489	-0.03162	0.00026	0.208865	0.000383	-4.8032	0.0013	69.30	124.80	309.60	296.10
56960.774960	-7.68009	0.00042	6.56848	50.476	-0.03205	0.00023	0.208043	0.000331	-4.8061	0.0012	78.80	143.50	342.70	317.60
56960.780528	-7.68039	0.00042	6.56834	50.474	-0.03112	0.00024	0.207863	0.000338	-4.8067	0.0012	77.40	140.70	337.40	314.90
56961.688661	-7.68050	0.00046	6.56795	50.490	-0.03170	0.00028	0.206359	0.000426	-4.8120	0.0015	62.50	117.20	283.50	265.40
56961.694135	-7.68093	0.00045	6.56949	50.482	-0.03227	0.00028	0.206730	0.000423	-4.8107	0.0015	63.10	117.70	288.00	272.40
56962.706601	-7.68024	0.00053	6.56976	50.493	-0.03154	0.00040	0.205823	0.000681	-4.8139	0.0024	42.00	78.90	202.80	205.40
56965.695325	-7.67991	0.00046	6.57086	50.474	-0.03041	0.00029	0.208326	0.000446	-4.8051	0.0015	60.60	110.70	282.40	284.10
56965.770270	-7.67482	0.00053	6.56938	50.491	-0.02981	0.00039	0.209388	0.000655	-4.8014	0.0023	43.70	81.00	209.10	213.30
56967.688283	-7.68117	0.00043	6.56942	50.455	-0.03183	0.00024	0.206584	0.000379	-4.8112	0.0013	69.20	136.10	317.10	280.90
56967.758934	-7.68071	0.00040	6.56940	50.418	-0.03046	0.00018	0.207779	0.000273	-4.8070	0.0010	93.70	181.10	420.50	356.70
56968.636877	-7.68222	0.00050	6.57129	50.468	-0.03214	0.00035	0.207060	0.000570	-4.8095	0.0020	48.60	94.70	227.90	207.10
56968.745806	-7.68075	0.00046	6.57135	50.460	-0.03108	0.00028	0.206749	0.000445	-4.8106	0.0016	60.00	118.40	274.70	242.30
57012.606630	-7.68165	0.00051	6.56994	50.515	-0.03247	0.00037	0.202013	0.000610	-4.8276	0.0022	45.50	85.70	216.00	208.90
57012.612266	-7.68177	0.00051	6.56934	50.520	-0.03303	0.00037	0.202307	0.000601	-4.8265	0.0022	46.10	87.30	218.30	209.10
57012.683598	-7.68108	0.00051	6.56792	50.522	-0.03199	0.00037	0.202871	0.000595	-4.8245	0.0022	46.60	86.90	219.60	214.00
57012.689026	-7.68165	0.00052	6.56945	50.514	-0.03450	0.00038	0.203300	0.000625	-4.8229	0.0023	44.70	83.90	212.70	207.60
57014.594852	-7.68083	0.00048	6.56630	50.526	-0.03173	0.00033	0.201691	0.000532	-4.8288	0.0020	51.00	95.10	243.20	237.00
