jdb	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60
---	----	-----	----	--------	--------	-----	----	-----	---	-------	-------	----	----	----
56070.677698	26.83126	0.00055	5.92660	38.101	-0.00669	0.00038	0.173882	0.001369	-4.9711	0.0059	25.20	60.30	253.90	264.60
56070.678809	26.83061	0.00055	5.93419	38.022	-0.00788	0.00039	0.176199	0.001356	-4.9613	0.0057	25.50	60.10	253.40	265.70
56070.679990	26.83026	0.00056	5.86698	39.045	-0.00237	0.00040	0.182671	0.000800	-4.9350	0.0032	39.20	78.30	217.00	188.50
56070.681043	26.82978	0.00059	5.97283	37.039	-0.01330	0.00044	0.168597	0.002008	-4.9943	0.0091	18.90	47.70	239.40	286.00
56070.682235	26.82959	0.00060	5.97124	37.018	-0.01282	0.00045	0.169190	0.001931	-4.9916	0.0087	19.60	48.10	234.50	284.30
56070.683393	26.83081	0.00058	5.93860	37.910	-0.00874	0.00043	0.173868	0.001805	-4.9711	0.0077	20.50	51.90	233.30	248.80
56070.684457	26.82925	0.00058	5.98060	36.962	-0.01231	0.00043	0.164903	0.002231	-5.0113	0.0105	17.40	46.90	248.90	295.50
56070.685638	26.83087	0.00058	5.97825	37.188	-0.01249	0.00043	0.165389	0.002547	-5.0090	0.0119	15.90	43.60	243.30	279.70
56070.686807	26.82998	0.00058	5.98212	36.984	-0.01405	0.00043	0.161333	0.002348	-5.0284	0.0115	16.70	45.40	249.50	292.60
56070.687953	26.82995	0.00060	5.98102	36.981	-0.01285	0.00045	0.172071	0.002446	-4.9789	0.0107	16.40	43.70	236.50	281.50
56087.555005	26.83067	0.00050	5.92557	38.419	-0.00490	0.00027	0.185718	0.001201	-4.9232	0.0046	31.00	70.20	331.80	337.70
56087.557436	26.83142	0.00049	5.91995	38.500	-0.00456	0.00025	0.185668	0.001082	-4.9234	0.0041	33.30	77.20	359.00	357.70
