jdb	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60
---	----	-----	----	--------	--------	-----	----	-----	---	-------	-------	----	----	----
56148.670256	-18.41884	0.00046	6.08667	49.463	0.01075	0.00024	0.215197	0.000665	-5.0053	0.0015	52.20	92.50	250.90	251.10
56148.674064	-18.41784	0.00045	6.08653	49.449	0.01092	0.00022	0.215917	0.000594	-5.0036	0.0014	57.40	102.20	271.50	266.80
56148.677883	-18.41818	0.00046	6.08636	49.465	0.01035	0.00024	0.214339	0.000666	-5.0073	0.0015	52.10	92.20	250.90	251.90
56150.665671	-18.42148	0.00064	6.08810	49.547	0.01126	0.00051	0.216234	0.001868	-5.0029	0.0043	23.50	43.90	119.70	121.00
56151.620639	-18.42116	0.00063	6.09797	49.535	0.00821	0.00049	0.195407	0.003902	-5.0532	0.0100	13.10	31.30	155.70	182.60
56151.729522	-18.41896	0.00048	6.08844	49.498	0.00893	0.00028	0.219708	0.000830	-4.9951	0.0019	44.70	67.90	230.00	289.30
56151.732508	-18.41924	0.00048	6.08748	49.498	0.01015	0.00028	0.218820	0.000832	-4.9971	0.0019	44.50	67.30	229.80	290.20
56151.735460	-18.41884	0.00049	6.08881	49.493	0.01022	0.00030	0.219140	0.000906	-4.9963	0.0020	41.60	64.10	215.70	269.80
56151.738411	-18.41880	0.00048	6.08771	49.500	0.01014	0.00028	0.220040	0.000842	-4.9943	0.0019	44.20	67.10	228.00	287.20
56152.672093	-18.42182	0.00044	6.08723	49.451	0.01111	0.00021	0.216763	0.000556	-5.0017	0.0013	61.80	97.30	306.60	355.00
56152.675056	-18.42182	0.00045	6.08710	49.474	0.01081	0.00022	0.217036	0.000602	-5.0011	0.0014	57.70	91.20	289.60	336.90
56152.677996	-18.42193	0.00045	6.08702	49.467	0.01042	0.00022	0.217127	0.000592	-5.0009	0.0013	58.60	92.60	293.60	340.70
56152.680959	-18.42212	0.00045	6.08715	49.470	0.01024	0.00022	0.217519	0.000612	-5.0000	0.0014	57.00	89.20	287.20	337.80
56153.627025	-18.42025	0.00042	6.08542	49.441	0.01172	0.00020	0.210831	0.000501	-5.0154	0.0012	66.00	115.70	298.10	282.60
56153.629722	-18.42085	0.00042	6.08649	49.440	0.01017	0.00020	0.210324	0.000501	-5.0166	0.0012	65.90	116.20	297.50	280.30
56153.632442	-18.42115	0.00043	6.08595	49.441	0.01051	0.00021	0.209727	0.000522	-5.0180	0.0012	63.60	111.60	290.00	277.60
56153.704471	-18.42131	0.00042	6.08597	49.438	0.01072	0.00019	0.210200	0.000488	-5.0169	0.0011	67.60	117.30	310.30	297.00
56153.707157	-18.42102	0.00042	6.08564	49.442	0.00996	0.00019	0.210854	0.000484	-5.0154	0.0011	68.20	118.20	312.80	299.80
56153.709877	-18.42066	0.00042	6.08537	49.443	0.01091	0.00019	0.210945	0.000487	-5.0151	0.0011	67.80	117.60	312.40	299.00
56160.644321	-18.41211	0.00049	6.08389	49.884	0.01256	0.00030	0.207243	0.000908	-5.0239	0.0022	40.80	68.70	210.30	232.50
56160.647619	-18.41721	0.00049	6.08252	49.539	0.00846	0.00030	0.205272	0.000915	-5.0287	0.0022	40.30	68.20	207.70	229.20
56160.650918	-18.41657	0.00049	6.08425	49.544	0.00924	0.00032	0.204274	0.000962	-5.0311	0.0023	38.80	65.20	201.20	224.70
56161.493214	-18.41976	0.00052	6.08510	49.570	0.00781	0.00036	0.208907	0.001178	-5.0199	0.0028	33.80	52.40	177.20	223.60
56161.496455	-18.42165	0.00049	6.08609	49.551	0.00953	0.00031	0.208154	0.000958	-5.0217	0.0023	39.50	59.80	204.80	261.40
56162.629146	-18.41957	0.00048	6.08211	49.545	0.00694	0.00029	0.202948	0.000827	-5.0343	0.0020	43.60	73.50	214.30	229.20
56162.631819	-18.42130	0.00047	6.08401	49.535	0.00782	0.00026	0.205273	0.000732	-5.0286	0.0018	48.40	77.80	241.70	273.50
56162.634470	-18.42210	0.00052	6.08462	49.580	0.00743	0.00035	0.206907	0.001086	-5.0247	0.0026	35.70	57.80	182.20	207.00
56166.516031	-18.41316	0.00044	6.08408	49.501	0.00753	0.00023	0.201009	0.000599	-5.0391	0.0015	56.40	95.90	272.40	286.60
56166.519897	-18.41309	0.00044	6.08323	49.490	0.00767	0.00022	0.202187	0.000563	-5.0362	0.0014	59.60	100.80	286.90	301.20
56166.634288	-18.41222	0.00046	6.08307	49.528	0.00785	0.00026	0.202332	0.000707	-5.0358	0.0017	49.60	82.20	240.50	257.90
56166.636973	-18.41251	0.00046	6.08429	49.525	0.00840	0.00026	0.202280	0.000718	-5.0359	0.0018	48.90	81.60	237.40	254.10
56176.528963	-18.41670	0.00043	6.08183	49.470	0.00942	0.00020	0.200434	0.000500	-5.0405	0.0012	65.80	116.60	291.40	252.20
56176.531428	-18.41718	0.00043	6.08238	49.466	0.00942	0.00021	0.200190	0.000502	-5.0411	0.0013	65.40	117.20	285.80	235.20
56176.533905	-18.41677	0.00043	6.08228	49.472	0.00972	0.00021	0.200013	0.000514	-5.0416	0.0013	64.10	116.10	279.50	227.70
56176.536405	-18.41712	0.00043	6.08194	49.468	0.00866	0.00021	0.199059	0.000512	-5.0439	0.0013	64.20	116.10	278.80	226.00
56177.533860	-18.42026	0.00044	6.08348	49.490	0.00890	0.00021	0.203271	0.000525	-5.0335	0.0013	63.90	108.70	295.40	284.00
56177.536325	-18.41978	0.00043	6.08466	49.492	0.00922	0.00021	0.204871	0.000522	-5.0296	0.0013	64.30	108.80	298.40	291.00
56177.538814	-18.42000	0.00044	6.08443	49.484	0.00927	0.00021	0.203496	0.000531	-5.0330	0.0013	63.20	106.90	294.50	289.00
56177.541303	-18.42022	0.00043	6.08343	49.487	0.00959	0.00021	0.202790	0.000518	-5.0347	0.0013	64.60	108.70	300.60	296.40
56178.521024	-18.41878	0.00049	6.08314	49.537	0.00915	0.00030	0.204369	0.000873	-5.0308	0.0021	42.50	71.10	212.00	226.60
56178.523478	-18.41881	0.00052	6.08259	49.561	0.00723	0.00035	0.204193	0.001096	-5.0313	0.0027	35.70	60.30	182.50	197.90
56178.525955	-18.41868	0.00049	6.08371	49.540	0.00769	0.00031	0.204294	0.000905	-5.0310	0.0022	41.20	69.20	207.00	222.10
56178.528444	-18.41873	0.00047	6.08376	49.522	0.00779	0.00028	0.205039	0.000773	-5.0292	0.0019	46.80	77.90	230.80	245.70
56179.476728	-18.41352	0.00044	6.08511	49.482	0.00793	0.00021	0.205880	0.000534	-5.0272	0.0013	63.80	100.00	302.00	330.40
56179.479182	-18.41352	0.00044	6.08384	49.486	0.00731	0.00021	0.206390	0.000522	-5.0260	0.0013	65.10	102.10	307.70	336.70
56179.481682	-18.41382	0.00044	6.08519	49.493	0.00745	0.00022	0.207137	0.000568	-5.0242	0.0014	60.80	95.50	289.80	318.50
56179.484171	-18.41360	0.00045	6.08619	49.491	0.00741	0.00023	0.206859	0.000584	-5.0248	0.0014	59.30	93.60	282.80	310.10
56180.442999	-18.41501	0.00046	6.08466	49.507	0.00780	0.00024	0.206510	0.000656	-5.0257	0.0016	53.80	86.00	263.50	291.40
56180.445499	-18.41525	0.00047	6.08508	49.505	0.00715	0.00027	0.207380	0.000752	-5.0236	0.0018	48.30	78.30	241.00	266.20
56180.447976	-18.41538	0.00046	6.08495	49.506	0.00754	0.00025	0.205754	0.000682	-5.0275	0.0016	52.00	84.00	257.40	282.70
56180.450465	-18.41523	0.00047	6.08540	49.510	0.00669	0.00026	0.205311	0.000716	-5.0286	0.0017	50.00	80.80	248.10	273.70
56181.476633	-18.41452	0.00054	6.08745	49.471	0.00637	0.00022	0.208557	0.000558	-5.0208	0.0013	62.00	95.80	296.50	336.20
56181.479098	-18.41431	0.00054	6.08777	49.469	0.00694	0.00021	0.208917	0.000543	-5.0199	0.0013	63.60	97.80	304.20	345.60
56181.481598	-18.41446	0.00054	6.08773	49.471	0.00663	0.00021	0.209253	0.000542	-5.0191	0.0013	63.70	97.50	305.70	350.30
56181.484064	-18.41385	0.00054	6.08768	49.463	0.00652	0.00020	0.208848	0.000517	-5.0201	0.0012	66.30	100.70	315.70	363.80
56182.480114	-18.41159	0.00046	6.08711	49.462	0.00615	0.00025	0.207217	0.000657	-5.0240	0.0016	53.60	91.80	245.20	234.90
56182.482602	-18.41266	0.00048	6.08749	49.494	0.00731	0.00029	0.206003	0.000806	-5.0269	0.0019	45.40	78.00	212.70	207.20
56182.485033	-18.41273	0.00047	6.08908	49.477	0.00667	0.00027	0.209576	0.000751	-5.0184	0.0018	48.30	82.80	225.20	219.20
56182.487464	-18.41191	0.00048	6.08686	49.486	0.00656	0.00028	0.207609	0.000781	-5.0230	0.0019	46.50	80.60	216.80	210.00
56183.593690	-18.41699	0.00045	6.08993	49.447	0.00636	0.00024	0.209203	0.000624	-5.0192	0.0015	56.10	96.20	261.70	255.00
56183.596132	-18.41604	0.00044	6.08941	49.441	0.00608	0.00023	0.209338	0.000602	-5.0189	0.0014	57.80	99.50	268.20	258.50
56183.598621	-18.41725	0.00044	6.09024	49.434	0.00572	0.00022	0.209700	0.000579	-5.0181	0.0014	59.90	102.00	278.10	270.10
56183.601121	-18.41712	0.00045	6.09071	49.442	0.00591	0.00023	0.209202	0.000612	-5.0192	0.0014	57.00	97.30	267.90	263.20
56183.671297	-18.41771	0.00045	6.08938	49.444	0.00595	0.00023	0.207165	0.000625	-5.0241	0.0015	55.80	96.50	264.70	257.00
56183.673751	-18.41778	0.00045	6.08941	49.439	0.00711	0.00024	0.209014	0.000636	-5.0197	0.0015	55.20	95.40	261.80	254.30
56183.676228	-18.41735	0.00045	6.08939	49.446	0.00594	0.00024	0.208686	0.000661	-5.0205	0.0016	53.40	92.40	255.30	248.90
56183.678728	-18.41740	0.00044	6.09014	49.431	0.00602	0.00023	0.207824	0.000608	-5.0225	0.0015	57.10	98.80	270.40	261.10
56198.490660	-18.42410	0.00059	5.92992	52.086	0.01915	0.00035	0.229019	0.000801	-4.9747	0.0017	35.90	79.70	0.00	0.00
56198.496366	-18.42280	0.00056	5.93037	52.079	0.02085	0.00031	0.229468	0.000675	-4.9738	0.0014	41.50	91.30	0.00	0.00
56199.414321	-18.42453	0.00059	5.92527	52.062	0.02067	0.00021	0.222256	0.000432	-4.9894	0.0010	60.40	133.60	0.00	0.00
56199.418303	-18.42562	0.00060	5.92568	52.067	0.02104	0.00022	0.221841	0.000452	-4.9903	0.0010	57.90	128.70	0.00	0.00
56199.422238	-18.42500	0.00059	5.92483	52.054	0.02115	0.00021	0.221655	0.000425	-4.9907	0.0009	61.30	136.30	0.00	0.00
56199.522981	-18.42387	0.00061	5.92895	52.062	0.02065	0.00039	0.229520	0.000865	-4.9736	0.0018	33.90	72.50	0.00	0.00
56199.525203	-18.42336	0.00058	5.92711	52.076	0.01983	0.00035	0.228077	0.000738	-4.9767	0.0016	38.50	82.10	0.00	0.00
56199.527344	-18.42277	0.00061	5.92731	52.063	0.02129	0.00039	0.229847	0.000824	-4.9729	0.0018	35.20	74.20	0.00	0.00
56199.529485	-18.42274	0.00061	5.92737	52.079	0.02103	0.00040	0.229862	0.000862	-4.9729	0.0018	33.90	72.10	0.00	0.00
56199.531603	-18.42267	0.00060	5.92757	52.073	0.02226	0.00037	0.228091	0.000794	-4.9767	0.0017	36.30	77.00	0.00	0.00
56199.533745	-18.42332	0.00060	5.92721	52.078	0.02076	0.00038	0.228827	0.000815	-4.9751	0.0017	35.50	75.10	0.00	0.00
56200.433099	-18.41728	0.00059	5.92496	52.001	0.02000	0.00019	0.222870	0.000391	-4.9881	0.0009	65.80	149.70	0.00	0.00
56200.436977	-18.41667	0.00059	5.92437	52.005	0.02062	0.00018	0.218823	0.000360	-4.9971	0.0008	70.20	161.10	0.00	0.00
56200.440866	-18.41721	0.00059	5.92466	52.016	0.02112	0.00019	0.218664	0.000377	-4.9974	0.0008	67.40	156.00	0.00	0.00
56200.498726	-18.41798	0.00059	5.92575	52.036	0.01939	0.00020	0.221079	0.000394	-4.9920	0.0009	65.60	141.60	0.00	0.00
56200.502614	-18.41844	0.00059	5.92582	52.036	0.01958	0.00021	0.220301	0.000408	-4.9937	0.0009	63.30	139.20	0.00	0.00
56202.464715	-18.42385	0.00060	5.92689	52.051	0.01905	0.00025	0.222166	0.000485	-4.9896	0.0011	54.50	114.90	0.00	0.00
56202.468569	-18.42408	0.00061	5.92765	52.042	0.01955	0.00028	0.221951	0.000547	-4.9901	0.0012	48.90	104.60	0.00	0.00
56202.478893	-18.42243	0.00058	5.92445	52.025	0.01954	0.00018	0.219959	0.000335	-4.9945	0.0007	75.80	159.30	0.00	0.00
56203.464184	-18.42189	0.00101	5.93981	51.790	0.02356	0.00091	0.259255	0.002685	-4.9145	0.0050	13.80	32.90	0.00	0.00
56203.466430	-18.42228	0.00073	5.93062	51.991	0.02005	0.00057	0.233561	0.001367	-4.9651	0.0029	23.10	52.00	0.00	0.00
