4502.594,1,,,
4514.187,0,1,,
4523.402,1,,,
4525.866,1,,,
4537.676,1,,,
4542.415,1,,,
4547.851,1,,,
4556.928,1,,,
4569.058,0,,1,
4574.219,1,,,
4574.721,1,,,
4579.329,1,,,
4580.462,0,,1,
4580.581,0,,1,
4587.131,1,,,
4598.743,1,,,
4602.004,1,,,
4613.906,1,,,
4614.209,1,,,
4615.566,0,1,,
4633.759,1,,,
4635.849,1,,,
4636.673,1,,,
4637.506,0,1,,
4639.663,0,1,,
4643.467,1,,,
4647.437,1,,,
4656.46,1,,,
4657.588,1,,,
4658.298,1,,,
4671.417,0,1,,
4677.592,1,,,
4679.227,1,,,
4680.298,0,,1,
4682.114,1,,,
4683.563,1,,,
4688.179,1,,,
4706.302,1,,,
4712.109,0,1,,
4721.004,1,,,
4726.14,1,,,
4735.847,1,,,
4757.581,1,,,
4773.149,1,,,
4779.443,0,1,,
4788.76,1,,,
4789.654,1,,,
4800.131,1,,,
4802.883,0,1,,
4809.942,1,,,
4813.116,1,,,
4832.731,1,,,
4835.871,0,1,,
4840.899,0,1,,
4843.147,0,1,,
4873.754,1,,,
4875.881,0,1,,
4877.609,0,1,,
4885.434,0,1,,
4892.862,1,,,
4905.136,1,,,
4907.735,1,,,
4909.387,1,,,
4910.02,1,,,
4910.329,1,,,
4911.783,1,,,
4918.016,0,1,,
4945.64,1,,,
4946.391,1,,,
4950.109,0,1,,
4962.575,1,,,
4969.921,1,,,
4970.499,0,,1,
4985.55,1,,,
4985.987,1,,,
4988.953,0,1,,
5002.796,1,,,
5008.642,1,,,
5016.482,1,,,
5019.734,1,,,
5028.129,1,,,
5029.621,1,,,
5031.039,1,,,
5031.917,1,,,
5040.243,0,,1,
5044.215,1,,,
5048.439,0,1,,
5054.646,1,,,
5072.081,0,1,,
5072.675,0,1,,
5078.978,0,,1,
5104.033,0,,1,
5109.655,1,,,
5136.096,1,,,
5143.727,0,,1,
5159.061,1,,,
5164.554,0,1,,
5165.414,1,,,
5197.94,1,,,
5198.714,1,,,
5221.766,1,,,
5224.301,1,,,
5225.529,0,1,,
5228.38,1,,,
5243.78,1,,,
5250.649,1,,,
5253.465,1,,,
5257.658,1,,,
5293.962,1,,,
5315.774,1,,,
5320.038,1,,,
5358.117,1,,,
5373.712,0,1,,
5379.577,1,,,
5386.337,1,,,
5391.462,0,1,,
5398.283,1,,,
5401.272,1,,,
5406.778,0,1,,
5412.788,1,,,
5417.036,1,,,
5432.951,1,,,
5436.299,0,1,,
5441.342,0,1,,
5461.553,1,,,
5466.399,0,1,,
5482.464,0,,1,
5483.102,0,1,,
5487.148,0,1,,
5491.835,1,,,
5493.502,1,,,
5494.465,0,1,,
5522.45,0,1,,
5525.547,1,,,
5543.939,1,,,
5560.215,0,1,,
5576.092,1,,,
5587.577,1,,,
5607.666,1,,,
5611.363,1,,,
5618.636,1,,,
5619.598,1,,,
5620.03,1,,,
5622.949,1,,,
5633.95,0,1,,1
5635.826,0,,1,
5636.214,0,,1,
5637.111,0,1,,1
5638.265,0,1,,1
5649.99,1,,,
5651.472,1,,,
5652.321,1,,,
5653.87,1,,,
5655.18,1,,,
5659.578,1,,,
5677.688,1,,,
5678.382,0,1,,
5679.026,1,,,
5691.5,1,,,
5693.646,0,1,,
5701.548,1,,,
5702.351,1,,,
5704.737,1,,,
5712.135,1,,,
5714.157,0,1,,
5715.101,1,,,
5715.472,0,,1,
5717.836,0,1,,
5720.901,0,1,,
5741.851,1,,,
5752.035,1,,,
5753.126,0,1,,
5755.135,0,,1,
5756.818,1,,,
5760.348,0,1,,
5761.259,0,,1,
5769.326,0,1,,
5775.084,1,,,
5778.456,1,,,
5778.812,0,,1,
5780.603,0,,1,
5784.661,0,1,,
